[2025-08-19 20:47:00,722] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 20:47:00,723] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 20:47:00,724] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 20:47:01,627] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 21:38:29,164] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:21:58,985] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:21:58,995] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:21:59,005] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:21:59,017] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:21:59,018] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:22:01,265] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:22:01,267] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:22:01,270] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:22:01,272] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:23:05,150] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:23:05,156] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:23:05,157] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:23:05,159] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:23:05,166] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:24:43,254] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:24:43,257] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:24:43,259] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:24:43,260] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:24:43,261] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:25:04,718] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:25:04,725] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:25:04,730] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:25:04,735] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:25:04,741] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:26:04,712] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:26:04,715] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:26:05,151] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:26:05,313] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:26:05,489] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:27:05,037] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:27:05,041] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:27:05,041] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:27:05,044] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:27:05,044] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:28:04,716] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:28:04,726] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:28:04,742] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:28:04,747] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:28:04,752] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:29:04,712] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:29:04,716] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:29:04,718] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:29:05,505] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:29:06,202] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:30:05,033] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:30:05,042] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:30:05,056] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:30:05,427] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:30:05,429] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:30:51,461] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:30:51,468] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:30:51,859] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:30:51,869] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:30:52,117] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:30:52,118] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:30:52,282] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:30:52,285] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:30:52,291] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:30:52,316] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:31:11,231] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:31:11,234] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:31:11,235] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:31:11,236] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:31:11,237] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:31:11,486] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:31:11,487] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:31:11,489] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:31:11,490] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:31:11,490] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
